"","Metabolite","lifestage"
"1","Montiporic Acid D","MetamorphosedRecruit"
"2","Cresol","MetamorphosedRecruit"
"3","Montiporic Acid C","MetamorphosedRecruit"
"4","Montiporic Acid B","MetamorphosedRecruit"
"5","Montiporic Acid A","MetamorphosedRecruit"
"6","Phenethylamine","MetamorphosedRecruit"
"7","Serine","MetamorphosedRecruit"
"8","Adenosine","MetamorphosedRecruit"
"9","Arginine-Glutamine","MetamorphosedRecruit"
"10","Glutamine","MetamorphosedRecruit"
"11","Guanosine","MetamorphosedRecruit"
"12","Ribothymidine","MetamorphosedRecruit"
"13","Glucose","MetamorphosedRecruit"
"14","N-Acetyl-Glucosamine","MetamorphosedRecruit"
"15","Valine","MetamorphosedRecruit"
"16","Pyruvate","MetamorphosedRecruit"
"17","Asparagine","MetamorphosedRecruit"
"18","Ophthalmate","MetamorphosedRecruit"
"19","Tyrosine","MetamorphosedRecruit"
"20","Uridine","MetamorphosedRecruit"
"21","Acetyl-arginine","MetamorphosedRecruit"
"22","Methionine","MetamorphosedRecruit"
"23","Creatine","MetamorphosedRecruit"
"24","Tryptamine","MetamorphosedRecruit"
"25","Arginine","MetamorphosedRecruit"
"26","NG-dimethyl-L-arginine","MetamorphosedRecruit"
"27","Pirbuterol","MetamorphosedRecruit"
"28","Lysine-Glutamine","MetamorphosedRecruit"
"29","Fructose","MetamorphosedRecruit"
"30","Pyroglutamate","MetamorphosedRecruit"
"31","Norvaline","MetamorphosedRecruit"
"32","O-Butanoylcarnitine","MetamorphosedRecruit"
"33","Proline","MetamorphosedRecruit"
"34","Cellobiose","MetamorphosedRecruit"
"35","Sucrose","MetamorphosedRecruit"
